Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Arkansas Van B,Arkansas,Van Buren County,98,16890,0.969387755,0.030612245,0,\N,\N,0.796760502,6190,276793,279823,176753,1429,395,1541,0,37524,0,10,3752.4
Arkansas Washi,Arkansas,Washington County,447,219930,0.959731544,0.040268456,0,37.3,24.9,0.796760502,101060,6385087,6452207,4631135,101963,22610,61946,637,253315,0,34,7450.441176
Arkansas White,Arkansas,White County,308,78825,0.983766234,0.016233766,0,54.3,39,0.796760502,29920,1613571,1629689,1138261,14102,2813,11059,112,100918,0,22,4587.181818
Arkansas Woodr,Arkansas,Woodruff County,78,6875,0.974358974,0.025641026,0,36.8,0,0.796760502,2530,99455,100998,76182,399,41,395,0,15719,0,7,2245.571429
California Alame,California,Alameda County,650,1605215,0.933846154,0.066153846,1,200.3,155.8,0.58749769,800510,86802636,87837104,65132570,3002945,1311780,1631089,26590,2209079,4,27,81817.74074
California Alpin,California,Alpine County,32,1185,0.9375,0.0625,0,\N,\N,0.58749769,460,27629,27980,14749,328,237,416,0,11228,0,43,261.1162791
California Amado,California,Amador County,60,36965,0.933333333,0.066666667,0,4.3,0,0.58749769,17260,1156441,1172952,660011,18781,9480,18564,1712,38205,4,71,538.0985915
California Butte,California,Butte County,437,223875,0.940503432,0.059496568,0,96.7,45.9,0.58749769,87730,5390813,5485813,3386141,98649,34921,71009,7679,213300,2,99,2154.545455
California Calav,California,Calaveras County,105,44785,0.876190476,0.123809524,0,\N,\N,0.58749769,20430,1373278,1394001,800337,25110,13667,24626,2007,54074,1,53,1020.264151
California Colus,California,Colusa County,212,21360,0.882075472,0.117924528,0,34.4,0,0.58749769,9960,588095,598807,379666,8336,2485,5353,728,34103,3,30,1136.766667
California Contr,California,Contra Costa County,607,1107925,0.940691928,0.059308072,1,183.9,84,0.58749769,554800,65919564,66781234,44417771,2709985,1084667,1360045,38908,560665,5,92,6094.184783
California Del N,California,Del Norte County,95,27630,0.842105263,0.157894737,0,\N,\N,0.58749769,9990,504067,510472,323582,4274,2193,5289,146,26044,2,32,813.875
California El Do,California,El Dorado County,184,183000,0.89673913,0.10326087,0,\N,\N,0.58749769,92180,8941665,9068290,5614624,276600,119920,186996,11980,311696,1,131,2379.358779
California Fresn,California,Fresno County,897,963160,0.914158305,0.085841695,1,183.5,33.6,0.58749769,404380,23218362,23491854,16476338,487295,170706,327735,29612,1007312,22,350,2878.034286
California Glenn,California,Glenn County,241,27975,0.908713693,0.091286307,0,39.3,0,0.58749769,12520,642971,656789,442410,5775,1988,4929,1107,37290,6,39,956.1538462
California Humbo,California,Humboldt County,396,135180,0.911616162,0.088383838,1,\N,\N,0.58749769,57280,3142015,3204408,1858962,42136,19225,37474,1238,142571,6,89,1601.921348
California Imper,California,Imperial County,450,178805,0.884444444,0.115555556,1,203.6,89.6,0.58749769,80240,3479781,3510782,2721192,32381,16800,43026,706,194469,6,81,2400.851852
California Kings,California,Kings County,163,150260,0.963190184,0.036809816,0,54.7,27.1,0.58749769,55610,2746790,2780069,2188609,28016,13758,32368,3416,106275,5,34,3125.735294
California Lasse,California,Lassen County,107,31945,0.91588785,0.08411215,0,161,0,0.58749769,9860,579487,585402,433170,4663,2268,6050,142,30890,2,40,772.25
California Los A,California,Los Angeles County,3538,10057155,0.962690786,0.037309214,3,509.2,245,0.58749769,4702060,384088479,389392958,254036367,15242263,5430983,7203146,107283,10309124,47,293,35184.72355
California Mader,California,Madera County,241,153365,0.846473029,0.153526971,0,59.3,26.5,0.58749769,59580,3096115,3134221,2192219,41885,17481,38568,4571,179654,4,206,872.1067961
California Marin,California,Marin County,205,259360,0.907317073,0.092682927,0,11,0,0.58749769,132030,26800046,27353128,13194387,1605877,467629,434110,6162,287185,0,48,5983.020833
California Marip,California,Mariposa County,115,17645,0.8,0.2,0,\N,\N,0.58749769,7520,423866,429075,257355,4318,2331,5025,539,19688,0,65,302.8923077
California Mendo,California,Mendocino County,355,87410,0.926760563,0.073239437,0,40.8,40.8,0.58749769,39550,2204788,2251470,1288924,37281,19538,32440,1134,84377,8,137,615.8905109
California Merce,California,Merced County,532,265000,0.879699248,0.120300752,1,97.4,40.8,0.58749769,107320,5176791,5233268,4022507,56687,26490,57024,4875,251061,16,127,1976.858268
California Modoc,California,Modoc County,87,9035,0.931034483,0.068965517,0,181.5,0,0.58749769,3390,147762,150587,98755,939,400,1128,0,4472,1,14,319.4285714
California Monte,California,Monterey County,379,430200,0.920844327,0.079155673,1,110,108.9,0.58749769,197090,14046413,14231588,9114301,371672,171212,235213,5425,425956,5,333,1279.147147
California Nevad,California,Nevada County,134,98640,0.865671642,0.134328358,0,29.6,29.6,0.58749769,50100,3781596,3862029,1990664,92842,46403,72766,2905,105216,3,84,1252.571429
California Orang,California,Orange County,1160,3132210,0.955172414,0.044827586,1,121.5,67.6,0.58749769,1527670,144415705,146468009,94320800,5805021,2302924,2996434,53132,3322437,19,47,70690.14894
California Place,California,Placer County,334,370570,0.958083832,0.041916168,0,144.8,144.8,0.58749769,188660,18317401,18575230,11693442,597019,280511,419426,17176,365143,8,128,2852.679688
California Pluma,California,Plumas County,150,18755,0.933333333,0.066666667,0,145.1,0,0.58749769,8900,527368,537957,288714,6601,3387,6676,129,32605,1,121,269.4628099
California River,California,Riverside County,1094,2323890,0.9488117,0.0511883,1,171.5,130.3,0.58749769,1026690,61083057,61792924,45166729,1245888,922965,1448686,58818,2480444,11,215,11536.94884
California Sacra,California,Sacramento County,735,1479300,0.963265306,0.036734694,1,158.5,80.3,0.58749769,708500,47309562,47858166,34206133,975844,483954,868370,13882,1560034,5,175,8914.48
California San D,California,San Diego County,1603,3253355,0.964441672,0.035558328,1,189,117,0.58749769,1598530,132801954,134583742,90735065,4168193,1900532,2607480,122018,3419008,7,204,16759.84314
California San F,California,San Francisco County,129,850280,0.953488372,0.046511628,0,15.7,15.7,0.58749769,483190,83584478,84498559,52367142,4096176,770257,972779,5807,930564,0,8,116320.5
California San J,California,San Joaquin County,645,714860,0.899224806,0.100775194,1,236,96.8,0.58749769,324270,20142996,20355155,15155167,378966,202166,357057,22355,703392,8,315,2232.990476
California San L,California,San Luis Obispo County,395,278680,0.962025316,0.037974684,1,72.3,72.3,0.58749769,132030,10421094,10616731,6114088,271354,151292,223670,8206,280502,0,157,1786.636943
California San M,California,San Mateo County,362,754750,0.859116022,0.140883978,1,41.3,34.2,0.58749769,390390,74970036,75760313,45614985,4311411,1010244,1017612,10110,760569,8,56,13581.58929
California Shast,California,Shasta County,500,179230,0.922,0.078,1,73.2,73.2,0.58749769,77700,4605514,4677976,2959582,80917,30196,62474,5112,205177,3,181,1133.574586
California Sierr,California,Sierra County,55,2930,0.781818182,0.218181818,0,5.6,1.6,0.58749769,1260,70532,71547,42343,564,411,786,0,6562,2,34,193
California Siski,California,Siskiyou County,430,43670,0.939534884,0.060465116,0,163.8,90.7,0.58749769,19160,949097,965333,580085,10415,4758,10203,356,40780,9,74,551.0810811
California Solan,California,Solano County,374,429595,0.938502674,0.061497326,0,84.1,66.3,0.58749769,212820,15175887,15317504,11270701,327128,203963,346865,15571,447847,10,64,6997.609375
California Sonom,California,Sonoma County,615,497775,0.892682927,0.107317073,1,43.3,0,0.58749769,245380,21031081,21418790,12704286,639117,285744,412968,10724,494756,12,442,1119.357466
California Stani,California,Stanislaus County,382,530560,0.882198953,0.117801047,0,134.1,20.8,0.58749769,231670,13486272,13643766,10022407,232517,98635,198472,6130,510671,21,204,2503.289216
California Sutte,California,Sutter County,121,95405,0.884297521,0.115702479,0,27.3,10.6,0.58749769,41400,2351676,2388404,1665548,33315,15270,31008,4055,90570,3,39,2322.307692
California Teham,California,Tehama County,450,63015,0.906666667,0.093333333,0,58.3,40.8,0.58749769,26090,1338399,1355498,932370,13229,5348,12681,2071,49857,3,119,418.9663866
California Trini,California,Trinity County,194,13180,0.896907216,0.103092784,0,\N,\N,0.58749769,4440,217108,220606,117135,2141,1136,2448,0,14500,1,46,315.2173913
California Tular,California,Tulare County,607,455770,0.942339374,0.057660626,0,153.3,22,0.58749769,182200,8796589,8929723,6758446,131539,48770,113021,8186,464826,11,324,1434.648148
California Tuolu,California,Tuolumne County,129,53865,0.914728682,0.085271318,0,28.9,0,0.58749769,24360,1533262,1556887,892195,22452,11507,23451,1606,75930,1,122,622.3770492
California Ventu,California,Ventura County,502,843110,0.962151394,0.037848606,0,98.2,76.2,0.58749769,405950,34214522,34707816,23019428,1202040,532170,763297,12065,881867,2,100,8818.67
Colorado Adams,Colorado,Adams County,521,479975,0.961612284,0.038387716,0,94,25.2,0.78095535,242060,14629755,14780834,11568804,130915,79058,177078,5373,596558,2,67,8903.850746
Colorado Alamo,Colorado,Alamosa County,16,16355,1,0,1,31.7,0,0.78095535,6760,333599,338615,236945,1712,492,1727,0,14416,1,17,848
Colorado Arapa,Colorado,Arapahoe County,380,617670,0.963157895,0.036842105,0,39.8,4,0.78095535,321130,27766056,28119315,18614039,446919,175833,343691,5885,764727,2,32,23897.71875
Colorado Archu,Colorado,Archuleta County,43,12355,0.930232558,0.069767442,0,1.7,1.7,0.78095535,6620,411218,419846,191199,3451,1771,4020,112,15926,1,15,1061.733333
Colorado Bould,Colorado,Boulder County,289,313960,0.979238754,0.020761246,0,57.2,8.8,0.78095535,160980,17783805,18084267,10600197,329690,134047,246944,4961,398763,3,78,5112.346154
Colorado Broom,Colorado,Broomfield County,66,62450,1,0,\N,7.3,0,0.78095535,36360,3626015,3671250,2575190,54359,27831,54490,1177,106153,1,1,106153
Colorado Chaff,Colorado,Chaffee County,84,18505,0.964285714,0.035714286,0,\N,\N,0.78095535,9760,682665,696368,338525,6003,2401,6231,317,23386,1,67,349.0447761
Colorado Cheye,Colorado,Cheyenne County,61,2070,1,0,0,62.6,0,0.78095535,800,33486,34637,26611,0,0,98,0,1264,0,3,421.3333333
Colorado Clear,Colorado,Clear Creek County,76,9240,0.960526316,0.039473684,0,\N,\N,0.78095535,4800,406180,412516,255767,5727,2137,5381,79,21881,1,31,705.8387097
Colorado Conej,Colorado,Conejos County,63,8215,0.936507937,0.063492063,\N,53.1,32.9,0.78095535,3060,120741,122816,87708,426,164,600,0,6737,1,27,249.5185185
Colorado Costi,Colorado,Costilla County,38,3590,1,0,0,32,0,0.78095535,1350,51047,51781,32966,104,37,190,0,2920,1,13,224.6153846
Colorado Crowl,Colorado,Crowley County,28,5535,0.892857143,0.107142857,0,\N,\N,0.78095535,1180,46503,46984,33091,0,0,62,0,2942,0,7,420.2857143
Colorado Custe,Colorado,Custer County,20,4375,0.95,0.05,0,\N,\N,0.78095535,2250,140397,143199,57119,1281,478,1341,112,3378,0,16,211.125
Colorado Delta,Colorado,Delta County,64,30220,1,0,0,69.7,0,0.78095535,13580,648363,658007,402193,3254,1212,3768,302,27452,10,41,669.5609756
Colorado Denve,Colorado,Denver County,439,663305,0.972665148,0.027334852,1,53.2,19.8,0.78095535,368310,34508643,34979109,22635772,633621,198281,419143,5715,1368512,1,4,342128
Colorado Dolor,Colorado,Dolores County,30,1790,1,0,0,\N,\N,0.78095535,830,37852,38441,26666,0,0,106,0,1320,0,5,264
Colorado Dougl,Colorado,Douglas County,239,314240,0.962343096,0.037656904,0,74.6,0,0.78095535,168690,20707234,20981393,14442722,402184,164468,359668,5812,350961,1,68,5161.191176
Colorado Eagle,Colorado,Eagle County,171,52895,0.923976608,0.076023392,1,62.8,51.6,0.78095535,29750,3199860,3260229,1652708,77884,29189,43642,685,102509,4,49,2092.020408
Colorado Elber,Colorado,Elbert County,85,24225,0.952941176,0.047058824,0,28.5,0,0.78095535,12680,1211457,1229165,841137,21518,9181,22672,386,10031,1,25,401.24
Colorado El Pa,Colorado,El Paso County,660,665170,0.959090909,0.040909091,1,80.7,8.7,0.78095535,334070,23046649,23327245,15803493,234173,87140,233648,7051,703221,2,118,5959.5
Colorado Fremo,Colorado,Fremont County,137,46835,0.934306569,0.065693431,0,30,0,0.78095535,18490,983915,995978,588350,4752,1621,5277,739,56772,1,29,1957.655172
Colorado Garfi,Colorado,Garfield County,167,57495,0.97005988,0.02994012,0,71.1,65.1,0.78095535,28280,2249517,2284214,1281980,31597,9920,23010,505,58026,2,87,666.9655172
Colorado Gilpi,Colorado,Gilpin County,18,5710,1,0,0,16.8,16.8,0.78095535,2950,204040,207011,142992,1854,654,2232,0,22611,0,20,1130.55
Colorado Grand,Colorado,Grand County,82,14490,0.914634146,0.085365854,0,65.5,65.5,0.78095535,7900,581079,593857,345317,6300,2795,6278,135,54742,0,73,749.890411
Colorado Gunni,Colorado,Gunnison County,100,15890,0.95,0.05,1,4.4,0,0.78095535,8420,576389,592443,318836,6790,3245,6518,0,25437,0,70,363.3857143
Colorado Hinsd,Colorado,Hinsdale County,31,855,1,0,0,\N,\N,0.78095535,380,24728,25231,10367,154,86,233,0,1543,0,15,102.8666667
Colorado Huerf,Colorado,Huerfano County,94,6520,0.925531915,0.074468085,0,68.8,0,0.78095535,2720,119470,121592,67816,516,222,746,0,6137,1,14,438.3571429
Colorado Jacks,Colorado,Jackson County,45,1305,0.977777778,0.022222222,0,\N,\N,0.78095535,660,31409,32188,20355,77,24,118,0,2276,0,14,162.5714286
Colorado Jeffe,Colorado,Jefferson County,445,558810,0.961797753,0.038202247,0,47.7,25.8,0.78095535,301970,26585063,26962308,17867104,373528,164761,365857,6875,499259,3,110,4538.718182
Colorado Kiowa,Colorado,Kiowa County,31,1465,0.967741935,0.032258065,0,2.1,0,0.78095535,600,28264,29132,18202,0,0,0,0,947,0,5,189.4
Colorado Kit C,Colorado,Kit Carson County,134,8175,0.985074627,0.014925373,0,59.7,0,0.78095535,3230,140805,145091,102446,458,118,525,0,7697,0,7,1099.571429
Colorado La Pl,Colorado,La Plata County,95,53995,0.989473684,0.010526316,1,32.7,32.7,0.78095535,27060,2130879,2171839,1191084,27793,7876,22269,761,61774,4,106,582.7735849
Colorado Larim,Colorado,Larimer County,543,325230,0.963167587,0.036832413,0,99.1,0,0.78095535,173750,13945395,14151115,9000027,177539,72371,164136,3845,385492,2,123,3134.081301
Colorado Las A,Colorado,Las Animas County,205,14320,0.87804878,0.12195122,0,136.6,60.7,0.78095535,6030,289540,292549,185567,1286,311,1246,70,14716,4,17,865.6470588
Colorado Linco,Colorado,Lincoln County,138,5515,0.898550725,0.101449275,0,71.3,0,0.78095535,2050,95115,96945,66999,206,58,301,0,7781,0,7,1111.571429
Colorado Logan,Colorado,Logan County,182,21860,0.917582418,0.082417582,0,111.1,0,0.78095535,8610,483034,493175,321000,2099,509,2009,0,18355,0,19,966.0526316
Colorado Miner,Colorado,Mineral County,26,795,1,0,0,\N,\N,0.78095535,430,24633,25348,10773,98,90,173,0,4942,0,15,329.4666667
Colorado Moffa,Colorado,Moffat County,79,13035,0.886075949,0.113924051,0,53.4,0,0.78095535,5890,336527,339438,259645,1214,375,1646,0,11935,1,12,994.5833333
Colorado Monte,Colorado,Montezuma County,68,26005,0.926470588,0.073529412,1,\N,\N,0.78095535,11800,646034,655257,384660,4438,1094,3683,176,31427,1,15,2095.133333
Colorado Montr,Colorado,Montrose County,119,40865,0.899159664,0.100840336,1,16.2,0,0.78095535,19580,1063627,1082093,654000,7149,2867,7690,383,50110,1,21,2386.190476
Colorado Morga,Colorado,Morgan County,189,28290,0.957671958,0.042328042,0,56.6,37.3,0.78095535,13550,719030,729358,551848,2974,923,3319,0,27088,0,8,3386
Colorado Otero,Colorado,Otero County,200,18440,0.84,0.16,0,74.6,44.9,0.78095535,7500,290628,295010,236864,681,225,927,0,19871,0,24,827.9583333
Colorado Ouray,Colorado,Ouray County,36,4650,0.972222222,0.027777778,0,\N,\N,0.78095535,2650,234655,240617,93061,2912,1254,2745,96,4238,0,7,605.4285714
Colorado Phill,Colorado,Phillips County,27,4345,0.962962963,0.037037037,0,36.2,0,0.78095535,2020,112033,115860,71336,394,154,503,0,3582,0,4,895.5
Colorado Pitki,Colorado,Pitkin County,59,17545,1,0,1,\N,\N,0.78095535,10330,1702585,1733602,573675,62116,16309,22354,149,52552,1,49,1072.489796
Colorado Prowe,Colorado,Prowers County,137,12120,0.890510949,0.109489051,0,38.2,38.2,0.78095535,4880,218059,222324,151850,635,81,595,0,12861,0,10,1286.1
Colorado Puebl,Colorado,Pueblo County,263,162160,0.88973384,0.11026616,1,129.4,0,0.78095535,72210,3794804,3834905,2591636,19511,7339,21287,3036,169619,1,24,7067.458333
Colorado Rio B,Colorado,Rio Blanco County,54,6660,0.907407407,0.092592593,0,9.7,0,0.78095535,2710,163417,165621,124843,850,191,879,0,5747,0,12,478.9166667
Colorado Rio G,Colorado,Rio Grande County,71,11625,0.971830986,0.028169014,0,51.9,0,0.78095535,5840,290659,296626,184586,1107,395,1281,0,13140,2,50,262.8
Colorado Routt,Colorado,Routt County,96,23980,0.927083333,0.072916667,1,111.9,0,0.78095535,13510,1410431,1443311,685118,25560,8692,16887,82,47062,0,49,960.4489796
Colorado Sagua,Colorado,Saguache County,45,6255,0.911111111,0.088888889,0,0.5,0,0.78095535,2140,81287,83190,46807,371,210,562,0,5548,0,13,426.7692308
Colorado San J,Colorado,San Juan County,12,550,0.916666667,0.083333333,0,13.4,13.4,0.78095535,360,17283,17687,10486,86,0,134,0,2950,0,3,983.3333333
Colorado San M,Colorado,San Miguel County,54,7765,0.981481481,0.018518519,0,\N,\N,0.78095535,4560,466346,480298,212485,14425,3663,5574,0,20181,0,19,1062.157895
Colorado Sedgw,Colorado,Sedgwick County,65,2365,0.969230769,0.030769231,0,31.2,0,0.78095535,1070,42086,42977,31452,0,0,126,0,1848,0,4,462
Colorado Summi,Colorado,Summit County,55,29270,0.945454545,0.054545455,0,\N,\N,0.78095535,17240,1627693,1659892,931271,28778,9897,20912,156,90899,0,42,2164.261905
Colorado Telle,Colorado,Teller County,27,23470,0.925925926,0.074074074,0,\N,\N,0.78095535,12410,829088,840696,513865,7297,2962,8560,154,23530,0,51,461.372549
Colorado Washi,Colorado,Washington County,77,4815,0.935064935,0.064935065,0,40.2,37.4,0.78095535,1980,98862,102211,63962,197,51,275,0,3471,0,6,578.5
Connecticut Fairf,Connecticut,Fairfield County,840,941620,0.926190476,0.073809524,0,103.3,64.2,0.649393876,462580,76438722,77648290,45111341,3323765,1189274,1113254,5149,760937,365,365,2084.758904
Connecticut Hartf,Connecticut,Hartford County,901,895700,0.927857936,0.072142064,1,101.1,34.5,0.649393876,449820,36634582,37148985,26319126,587310,412435,517984,3877,839829,219,219,3834.835616
Connecticut Litch,Connecticut,Litchfield County,456,185140,0.914473684,0.085526316,0,66.5,16,0.649393876,94490,7576398,7715286,4904317,139434,85021,112037,1056,129606,363,363,357.0413223
Connecticut Middl,Connecticut,Middlesex County,304,164440,0.927631579,0.072368421,0,40.9,21.4,0.649393876,84920,7543199,7663136,5163860,124320,90324,119764,916,98189,282,282,348.1879433
Connecticut New H,Connecticut,New Haven County,871,860875,0.931113662,0.068886338,1,114.8,84.1,0.649393876,416540,30979676,31443324,21823971,520089,374320,486375,5379,722079,225,225,3209.24
Connecticut New L,Connecticut,New London County,430,272035,0.925581395,0.074418605,0,97.6,34.3,0.649393876,135780,9913938,10048863,6875171,130976,93440,132974,1435,208911,392,392,532.9362245
Connecticut Tolla,Connecticut,Tolland County,204,151690,0.941176471,0.058823529,0,24.1,0,0.649393876,68970,5816432,5896120,4192515,72335,57855,79448,747,63089,298,298,211.7080537
Connecticut Windh,Connecticut,Windham County,264,117080,0.939393939,0.060606061,0,46.6,0,0.649393876,55500,3331301,3371258,2498207,27672,22249,36702,665,65655,269,269,244.070632
Delaware New C,Delaware,New Castle County,499,551995,0.965931864,0.034068136,0,125.9,37.8,0.816886856,271300,20767674,20982347,14683432,375284,138605,287114,3195,523690,70,70,7481.285714
Delaware Susse,Delaware,Sussex County,166,211225,0.93373494,0.06626506,0,93.3,0,0.816886856,115210,7778545,7877725,4180714,109036,33441,81023,2592,324176,259,259,1251.644788
Florida Alach,Florida,Alachua County,112,256580,0.991071429,0.008928571,1,84.5,0,0.882151679,115560,7698505,7786815,5257997,5978,41089,48256,1352,220686,63,63,3502.952381
Florida Baker,Florida,Baker County,90,27310,0.922222222,0.077777778,0,39.9,0,0.882151679,11110,587141,592657,445648,78,1190,2154,56,11781,21,21,561
Florida Bradf,Florida,Bradford County,62,26920,0.935483871,0.064516129,0,42,0,0.882151679,10310,488415,492189,340280,86,1076,1610,28,19438,25,25,777.52
