Hash,State,County,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount
Alaska Skagw,Alaska,Skagway Municipality,760.0000,47236.0000,48117.0000,30466.0000,0.0000,0.0000,46.0000,0.0000
Alaska South,Alaska,Southeast Fairbanks Census Area,3240.0000,190363.0000,191765.0000,136533.0000,0.0000,102.0000,169.0000,0.0000
Alaska Valde,Alaska,Valdez-Cordova Census Area,4950.0000,325434.0000,329484.0000,222823.0000,37.0000,685.0000,821.0000,0.0000
Alaska Wrang,Alaska,Wrangell City and Borough,1090.0000,60289.0000,61372.0000,36858.0000,0.0000,140.0000,207.0000,0.0000
Alaska Yakut,Alaska,Yakutat City and Borough,240.0000,13062.0000,13229.0000,9674.0000,0.0000,0.0000,0.0000,0.0000
Alaska Yukon,Alaska,Yukon-Koyukuk Census Area,2450.0000,93377.0000,93949.0000,67738.0000,0.0000,0.0000,0.0000,0.0000
Arizona Apach,Arizona,Apache County,24860.0000,994058.0000,1000758.0000,796847.0000,1634.0000,668.0000,2572.0000,239.0000
Arizona Cochi,Arizona,Cochise County,53160.0000,2690140.0000,2714947.0000,1792039.0000,10784.0000,7733.0000,17873.0000,534.0000
Arizona Cocon,Arizona,Coconino County,61230.0000,3772634.0000,3821484.0000,2499224.0000,32762.0000,16942.0000,37357.0000,771.0000
Arizona Graha,Arizona,Graham County,12120.0000,616515.0000,621244.0000,511499.0000,2809.0000,1638.0000,4599.0000,544.0000
Arizona Green,Arizona,Greenlee County,3490.0000,212377.0000,213031.0000,195361.0000,416.0000,103.0000,537.0000,0.0000
Arizona La Pa,Arizona,La Paz County,6640.0000,264226.0000,266913.0000,175083.0000,1012.0000,997.0000,2164.0000,45.0000
Arizona Maric,Arizona,Maricopa County,1945070.0000,144985140.00,146682753.00,99282245.000,1749318.0000,851632.0000,1668009.0000,52143.0000
Arizona Mohav,Arizona,Mohave County,86120.0000,4120422.0000,4166371.0000,2430193.0000,26448.0000,16845.0000,37420.0000,2481.0000
Arizona Navaj,Arizona,Navajo County,40760.0000,1830035.0000,1846399.0000,1312897.0000,7669.0000,5579.0000,13255.0000,507.0000
Arizona Pinal,Arizona,Pinal County,160860.0000,8652516.0000,8727956.0000,6076686.0000,38316.0000,33030.0000,71454.0000,4561.0000
Arizona Santa,Arizona,Santa Cruz County,20930.0000,970213.0000,982173.0000,655368.0000,5048.0000,3477.0000,6417.0000,329.0000
Arizona Yavap,Arizona,Yavapai County,110410.0000,6749906.0000,6840206.0000,3353269.0000,58673.0000,38724.0000,73815.0000,2686.0000
Arkansas Arkan,Arkansas,Arkansas County,7440.0000,388761.0000,396949.0000,269783.0000,4059.0000,748.0000,2803.0000,43.0000
Arkansas Ashle,Arkansas,Ashley County,7800.0000,365958.0000,369553.0000,274898.0000,2093.0000,368.0000,2062.0000,52.0000
Arkansas Baxte,Arkansas,Baxter County,18020.0000,898287.0000,909004.0000,517946.0000,7802.0000,1844.0000,5835.0000,94.0000
Arkansas Bento,Arkansas,Benton County,120540.0000,15144211.000,15223536.000,7154861.0000,289350.0000,42877.0000,104158.0000,1246.0000
Arkansas Boone,Arkansas,Boone County,15530.0000,766162.0000,775464.0000,539340.0000,5994.0000,1314.0000,4438.0000,87.0000
Arkansas Bradl,Arkansas,Bradley County,4080.0000,174446.0000,176475.0000,128989.0000,886.0000,135.0000,874.0000,0.0000
Arkansas Calho,Arkansas,Calhoun County,1870.0000,93431.0000,94275.0000,73953.0000,370.0000,50.0000,388.0000,0.0000
Arkansas Carro,Arkansas,Carroll County,12230.0000,525955.0000,532628.0000,345775.0000,3515.0000,1100.0000,3289.0000,67.0000
Arkansas Chico,Arkansas,Chicot County,3750.0000,157650.0000,160303.0000,113325.0000,1352.0000,280.0000,1130.0000,40.0000
Arkansas Clark,Arkansas,Clark County,8210.0000,396473.0000,400243.0000,276273.0000,2816.0000,627.0000,2440.0000,0.0000
Arkansas Clebu,Arkansas,Cleburne County,10350.0000,510807.0000,517602.0000,317028.0000,4119.0000,1316.0000,4166.0000,0.0000
Arkansas Cleve,Arkansas,Cleveland County,3080.0000,162973.0000,164328.0000,125186.0000,851.0000,126.0000,888.0000,0.0000
Arkansas Colum,Arkansas,Columbia County,8730.0000,456459.0000,461660.0000,320076.0000,4663.0000,957.0000,4051.0000,29.0000
Arkansas Conwa,Arkansas,Conway County,8220.0000,415014.0000,419072.0000,298280.0000,2967.0000,553.0000,2218.0000,0.0000
Arkansas Craig,Arkansas,Craighead County,42900.0000,2469035.0000,2502067.0000,1755664.0000,32036.0000,7093.0000,21416.0000,104.0000
Arkansas Crawf,Arkansas,Crawford County,24130.0000,1183000.0000,1192495.0000,893521.0000,8624.0000,2109.0000,8430.0000,137.0000
Arkansas Critt,Arkansas,Crittenden County,20140.0000,917587.0000,928762.0000,699341.0000,8825.0000,2244.0000,9362.0000,495.0000
Arkansas Cross,Arkansas,Cross County,6850.0000,301447.0000,306013.0000,236076.0000,1992.0000,364.0000,1887.0000,30.0000
Arkansas Dalla,Arkansas,Dallas County,2650.0000,115197.0000,116161.0000,86577.0000,597.0000,85.0000,479.0000,0.0000
Arkansas Desha,Arkansas,Desha County,4720.0000,184106.0000,187637.0000,141713.0000,1194.0000,241.0000,1200.0000,85.0000
Arkansas Faulk,Arkansas,Faulkner County,50670.0000,3033602.0000,3064230.0000,2235854.0000,33674.0000,8710.0000,27269.0000,231.0000
Arkansas Frank,Arkansas,Franklin County,6680.0000,314390.0000,316956.0000,232531.0000,1682.0000,305.0000,1466.0000,0.0000
Arkansas Fulto,Arkansas,Fulton County,4430.0000,174224.0000,176041.0000,125844.0000,412.0000,130.0000,485.0000,0.0000
Arkansas Garla,Arkansas,Garland County,43450.0000,2391378.0000,2418074.0000,1410146.0000,26768.0000,7247.0000,20565.0000,230.0000
Arkansas Grant,Arkansas,Grant County,7430.0000,414329.0000,417307.0000,319684.0000,2749.0000,570.0000,2540.0000,0.0000
Arkansas Green,Arkansas,Greene County,17510.0000,863484.0000,874209.0000,641622.0000,5756.0000,1142.0000,4300.0000,50.0000
Arkansas Hemps,Arkansas,Hempstead County,8370.0000,329691.0000,332685.0000,263007.0000,1519.0000,285.0000,1482.0000,0.0000
Arkansas Hot S,Arkansas,Hot Spring County,12420.0000,576854.0000,582135.0000,421923.0000,3704.0000,708.0000,2823.0000,0.0000
Arkansas Howar,Arkansas,Howard County,5420.0000,229422.0000,231576.0000,173163.0000,1185.0000,175.0000,1005.0000,0.0000
Arkansas Indep,Arkansas,Independence County,14940.0000,753071.0000,761053.0000,563784.0000,6563.0000,1221.0000,4132.0000,0.0000
Arkansas Izard,Arkansas,Izard County,4790.0000,204241.0000,206402.0000,144859.0000,953.0000,263.0000,1006.0000,0.0000
Arkansas Jacks,Arkansas,Jackson County,5660.0000,236537.0000,240395.0000,179981.0000,1400.0000,232.0000,1112.0000,0.0000
Arkansas Jeffe,Arkansas,Jefferson County,27620.0000,1228763.0000,1239378.0000,902615.0000,10209.0000,2608.0000,10564.0000,460.0000
Arkansas Johns,Arkansas,Johnson County,9810.0000,422778.0000,426880.0000,326966.0000,2196.0000,487.0000,1977.0000,60.0000
Arkansas Lafay,Arkansas,Lafayette County,2440.0000,96764.0000,97938.0000,78358.0000,482.0000,82.0000,521.0000,0.0000
Arkansas Lawre,Arkansas,Lawrence County,6140.0000,250330.0000,254485.0000,187284.0000,995.0000,130.0000,879.0000,0.0000
Arkansas Linco,Arkansas,Lincoln County,3810.0000,170182.0000,172270.0000,133009.0000,788.0000,161.0000,951.0000,58.0000
Arkansas Littl,Arkansas,Little River County,4870.0000,218111.0000,219570.0000,170664.0000,710.0000,167.0000,930.0000,0.0000
Arkansas Logan,Arkansas,Logan County,8370.0000,354997.0000,358722.0000,274378.0000,1220.0000,248.0000,1278.0000,0.0000
Arkansas Lonok,Arkansas,Lonoke County,30400.0000,1738383.0000,1754936.0000,1322268.0000,13848.0000,3511.0000,12776.0000,115.0000
Arkansas Madis,Arkansas,Madison County,6520.0000,294469.0000,297695.0000,221784.0000,1908.0000,317.0000,1320.0000,0.0000
Arkansas Mario,Arkansas,Marion County,6480.0000,271832.0000,274660.0000,168450.0000,827.0000,335.0000,1066.0000,0.0000
Arkansas Mille,Arkansas,Miller County,17410.0000,843132.0000,851265.0000,617288.0000,1333.0000,1721.0000,3917.0000,46.0000
Arkansas Missi,Arkansas,Mississippi County,15770.0000,719587.0000,726461.0000,567591.0000,4647.0000,941.0000,4853.0000,42.0000
Arkansas Monro,Arkansas,Monroe County,2840.0000,106762.0000,108879.0000,80195.0000,305.0000,42.0000,381.0000,0.0000
Arkansas Montg,Arkansas,Montgomery County,3230.0000,131567.0000,133147.0000,83445.0000,599.0000,107.0000,559.0000,0.0000
Arkansas Nevad,Arkansas,Nevada County,3240.0000,128336.0000,129230.0000,99805.0000,397.0000,96.0000,470.0000,0.0000
Arkansas Newto,Arkansas,Newton County,2880.0000,109678.0000,111012.0000,75547.0000,333.0000,99.0000,408.0000,0.0000
Arkansas Ouach,Arkansas,Ouachita County,9420.0000,443519.0000,446842.0000,327025.0000,2623.0000,600.0000,2726.0000,0.0000
Arkansas Perry,Arkansas,Perry County,3870.0000,182710.0000,184577.0000,139983.0000,626.0000,160.0000,726.0000,0.0000
Arkansas Phill,Arkansas,Phillips County,6750.0000,245266.0000,249548.0000,176451.0000,1483.0000,378.0000,1840.0000,34.0000
Arkansas Poins,Arkansas,Poinsett County,8750.0000,364560.0000,370492.0000,275796.0000,1847.0000,256.0000,1468.0000,0.0000
Arkansas Prair,Arkansas,Prairie County,3240.0000,151280.0000,155029.0000,104639.0000,559.0000,113.0000,618.0000,0.0000
Arkansas Pulas,Arkansas,Pulaski County,177030.0000,12056109.000,12188348.000,8099359.0000,220744.0000,65870.0000,142246.0000,1501.0000
Arkansas Rando,Arkansas,Randolph County,7090.0000,282879.0000,286648.0000,219623.0000,1359.0000,179.0000,1232.0000,0.0000
Arkansas St. F,Arkansas,St. Francis County,8380.0000,314007.0000,318533.0000,231559.0000,1845.0000,379.0000,2030.0000,74.0000
Arkansas Salin,Arkansas,Saline County,52360.0000,3289299.0000,3321219.0000,2324244.0000,30546.0000,10163.0000,30695.0000,243.0000
Arkansas Scott,Arkansas,Scott County,3840.0000,148557.0000,150244.0000,112504.0000,371.0000,56.0000,448.0000,0.0000
Arkansas Searc,Arkansas,Searcy County,2960.0000,98168.0000,99461.0000,73715.0000,339.0000,53.0000,347.0000,0.0000
Arkansas Sebas,Arkansas,Sebastian County,53130.0000,2933783.0000,2960095.0000,2043600.0000,37377.0000,8002.0000,23496.0000,182.0000
Arkansas Sevie,Arkansas,Sevier County,6080.0000,249899.0000,251945.0000,205955.0000,1063.0000,173.0000,1053.0000,0.0000
Arkansas Sharp,Arkansas,Sharp County,6440.0000,252314.0000,255509.0000,175902.0000,1211.0000,295.0000,1236.0000,0.0000
Arkansas Stone,Arkansas,Stone County,4650.0000,183338.0000,186017.0000,119529.0000,764.0000,203.0000,835.0000,0.0000
Arkansas Union,Arkansas,Union County,16840.0000,1024404.0000,1034812.0000,716878.0000,13828.0000,2479.0000,7973.0000,99.0000
Arkansas Van B,Arkansas,Van Buren County,6190.0000,276793.0000,279823.0000,176753.0000,1429.0000,395.0000,1541.0000,0.0000
Arkansas Washi,Arkansas,Washington County,101060.0000,6385087.0000,6452207.0000,4631135.0000,101963.0000,22610.0000,61946.0000,637.0000
Arkansas White,Arkansas,White County,29920.0000,1613571.0000,1629689.0000,1138261.0000,14102.0000,2813.0000,11059.0000,112.0000
Arkansas Woodr,Arkansas,Woodruff County,2530.0000,99455.0000,100998.0000,76182.0000,399.0000,41.0000,395.0000,0.0000
California Alame,California,Alameda County,800510.0000,86802636.000,87837104.000,65132570.000,3002945.0000,1311780.0000,1631089.0000,26590.0000
California Alpin,California,Alpine County,460.0000,27629.0000,27980.0000,14749.0000,328.0000,237.0000,416.0000,0.0000
California Amado,California,Amador County,17260.0000,1156441.0000,1172952.0000,660011.0000,18781.0000,9480.0000,18564.0000,1712.0000
California Butte,California,Butte County,87730.0000,5390813.0000,5485813.0000,3386141.0000,98649.0000,34921.0000,71009.0000,7679.0000
California Calav,California,Calaveras County,20430.0000,1373278.0000,1394001.0000,800337.0000,25110.0000,13667.0000,24626.0000,2007.0000
California Colus,California,Colusa County,9960.0000,588095.0000,598807.0000,379666.0000,8336.0000,2485.0000,5353.0000,728.0000
California Contr,California,Contra Costa County,554800.0000,65919564.000,66781234.000,44417771.000,2709985.0000,1084667.0000,1360045.0000,38908.0000
California Del N,California,Del Norte County,9990.0000,504067.0000,510472.0000,323582.0000,4274.0000,2193.0000,5289.0000,146.0000
California El Do,California,El Dorado County,92180.0000,8941665.0000,9068290.0000,5614624.0000,276600.0000,119920.0000,186996.0000,11980.0000
California Fresn,California,Fresno County,404380.0000,23218362.000,23491854.000,16476338.000,487295.0000,170706.0000,327735.0000,29612.0000
California Glenn,California,Glenn County,12520.0000,642971.0000,656789.0000,442410.0000,5775.0000,1988.0000,4929.0000,1107.0000
California Humbo,California,Humboldt County,57280.0000,3142015.0000,3204408.0000,1858962.0000,42136.0000,19225.0000,37474.0000,1238.0000
California Imper,California,Imperial County,80240.0000,3479781.0000,3510782.0000,2721192.0000,32381.0000,16800.0000,43026.0000,706.0000
California Kings,California,Kings County,55610.0000,2746790.0000,2780069.0000,2188609.0000,28016.0000,13758.0000,32368.0000,3416.0000
California Lasse,California,Lassen County,9860.0000,579487.0000,585402.0000,433170.0000,4663.0000,2268.0000,6050.0000,142.0000
California Los A,California,Los Angeles County,4702060.0000,384088479.00,389392958.00,254036367.00,15242263.000,5430983.0000,7203146.0000,107283.0000
California Mader,California,Madera County,59580.0000,3096115.0000,3134221.0000,2192219.0000,41885.0000,17481.0000,38568.0000,4571.0000
California Marin,California,Marin County,132030.0000,26800046.000,27353128.000,13194387.000,1605877.0000,467629.0000,434110.0000,6162.0000
California Marip,California,Mariposa County,7520.0000,423866.0000,429075.0000,257355.0000,4318.0000,2331.0000,5025.0000,539.0000
California Mendo,California,Mendocino County,39550.0000,2204788.0000,2251470.0000,1288924.0000,37281.0000,19538.0000,32440.0000,1134.0000
California Merce,California,Merced County,107320.0000,5176791.0000,5233268.0000,4022507.0000,56687.0000,26490.0000,57024.0000,4875.0000
California Modoc,California,Modoc County,3390.0000,147762.0000,150587.0000,98755.0000,939.0000,400.0000,1128.0000,0.0000
California Monte,California,Monterey County,197090.0000,14046413.000,14231588.000,9114301.0000,371672.0000,171212.0000,235213.0000,5425.0000
California Nevad,California,Nevada County,50100.0000,3781596.0000,3862029.0000,1990664.0000,92842.0000,46403.0000,72766.0000,2905.0000
California Orang,California,Orange County,1527670.0000,144415705.00,146468009.00,94320800.000,5805021.0000,2302924.0000,2996434.0000,53132.0000
California Place,California,Placer County,188660.0000,18317401.000,18575230.000,11693442.000,597019.0000,280511.0000,419426.0000,17176.0000
California Pluma,California,Plumas County,8900.0000,527368.0000,537957.0000,288714.0000,6601.0000,3387.0000,6676.0000,129.0000
California River,California,Riverside County,1026690.0000,61083057.000,61792924.000,45166729.000,1245888.0000,922965.0000,1448686.0000,58818.0000
California Sacra,California,Sacramento County,708500.0000,47309562.000,47858166.000,34206133.000,975844.0000,483954.0000,868370.0000,13882.0000
California San D,California,San Diego County,1598530.0000,132801954.00,134583742.00,90735065.000,4168193.0000,1900532.0000,2607480.0000,122018.0000
California San F,California,San Francisco County,483190.0000,83584478.000,84498559.000,52367142.000,4096176.0000,770257.0000,972779.0000,5807.0000
California San J,California,San Joaquin County,324270.0000,20142996.000,20355155.000,15155167.000,378966.0000,202166.0000,357057.0000,22355.0000
California San L,California,San Luis Obispo County,132030.0000,10421094.000,10616731.000,6114088.0000,271354.0000,151292.0000,223670.0000,8206.0000
California San M,California,San Mateo County,390390.0000,74970036.000,75760313.000,45614985.000,4311411.0000,1010244.0000,1017612.0000,10110.0000
California Shast,California,Shasta County,77700.0000,4605514.0000,4677976.0000,2959582.0000,80917.0000,30196.0000,62474.0000,5112.0000
California Sierr,California,Sierra County,1260.0000,70532.0000,71547.0000,42343.0000,564.0000,411.0000,786.0000,0.0000
California Siski,California,Siskiyou County,19160.0000,949097.0000,965333.0000,580085.0000,10415.0000,4758.0000,10203.0000,356.0000
California Solan,California,Solano County,212820.0000,15175887.000,15317504.000,11270701.000,327128.0000,203963.0000,346865.0000,15571.0000
California Sonom,California,Sonoma County,245380.0000,21031081.000,21418790.000,12704286.000,639117.0000,285744.0000,412968.0000,10724.0000
California Stani,California,Stanislaus County,231670.0000,13486272.000,13643766.000,10022407.000,232517.0000,98635.0000,198472.0000,6130.0000
California Sutte,California,Sutter County,41400.0000,2351676.0000,2388404.0000,1665548.0000,33315.0000,15270.0000,31008.0000,4055.0000
California Teham,California,Tehama County,26090.0000,1338399.0000,1355498.0000,932370.0000,13229.0000,5348.0000,12681.0000,2071.0000
California Trini,California,Trinity County,4440.0000,217108.0000,220606.0000,117135.0000,2141.0000,1136.0000,2448.0000,0.0000
California Tular,California,Tulare County,182200.0000,8796589.0000,8929723.0000,6758446.0000,131539.0000,48770.0000,113021.0000,8186.0000
California Tuolu,California,Tuolumne County,24360.0000,1533262.0000,1556887.0000,892195.0000,22452.0000,11507.0000,23451.0000,1606.0000
California Ventu,California,Ventura County,405950.0000,34214522.000,34707816.000,23019428.000,1202040.0000,532170.0000,763297.0000,12065.0000
Colorado Adams,Colorado,Adams County,242060.0000,14629755.000,14780834.000,11568804.000,130915.0000,79058.0000,177078.0000,5373.0000
Colorado Alamo,Colorado,Alamosa County,6760.0000,333599.0000,338615.0000,236945.0000,1712.0000,492.0000,1727.0000,0.0000
Colorado Arapa,Colorado,Arapahoe County,321130.0000,27766056.000,28119315.000,18614039.000,446919.0000,175833.0000,343691.0000,5885.0000
Colorado Archu,Colorado,Archuleta County,6620.0000,411218.0000,419846.0000,191199.0000,3451.0000,1771.0000,4020.0000,112.0000
Colorado Bould,Colorado,Boulder County,160980.0000,17783805.000,18084267.000,10600197.000,329690.0000,134047.0000,246944.0000,4961.0000
Colorado Broom,Colorado,Broomfield County,36360.0000,3626015.0000,3671250.0000,2575190.0000,54359.0000,27831.0000,54490.0000,1177.0000
Colorado Chaff,Colorado,Chaffee County,9760.0000,682665.0000,696368.0000,338525.0000,6003.0000,2401.0000,6231.0000,317.0000
Colorado Cheye,Colorado,Cheyenne County,800.0000,33486.0000,34637.0000,26611.0000,0.0000,0.0000,98.0000,0.0000
Colorado Clear,Colorado,Clear Creek County,4800.0000,406180.0000,412516.0000,255767.0000,5727.0000,2137.0000,5381.0000,79.0000
Colorado Conej,Colorado,Conejos County,3060.0000,120741.0000,122816.0000,87708.0000,426.0000,164.0000,600.0000,0.0000
Colorado Costi,Colorado,Costilla County,1350.0000,51047.0000,51781.0000,32966.0000,104.0000,37.0000,190.0000,0.0000
Colorado Crowl,Colorado,Crowley County,1180.0000,46503.0000,46984.0000,33091.0000,0.0000,0.0000,62.0000,0.0000
Colorado Custe,Colorado,Custer County,2250.0000,140397.0000,143199.0000,57119.0000,1281.0000,478.0000,1341.0000,112.0000
Colorado Delta,Colorado,Delta County,13580.0000,648363.0000,658007.0000,402193.0000,3254.0000,1212.0000,3768.0000,302.0000
Colorado Denve,Colorado,Denver County,368310.0000,34508643.000,34979109.000,22635772.000,633621.0000,198281.0000,419143.0000,5715.0000
Colorado Dolor,Colorado,Dolores County,830.0000,37852.0000,38441.0000,26666.0000,0.0000,0.0000,106.0000,0.0000
Colorado Dougl,Colorado,Douglas County,168690.0000,20707234.000,20981393.000,14442722.000,402184.0000,164468.0000,359668.0000,5812.0000
Colorado Eagle,Colorado,Eagle County,29750.0000,3199860.0000,3260229.0000,1652708.0000,77884.0000,29189.0000,43642.0000,685.0000
Colorado Elber,Colorado,Elbert County,12680.0000,1211457.0000,1229165.0000,841137.0000,21518.0000,9181.0000,22672.0000,386.0000
Colorado El Pa,Colorado,El Paso County,334070.0000,23046649.000,23327245.000,15803493.000,234173.0000,87140.0000,233648.0000,7051.0000
Colorado Fremo,Colorado,Fremont County,18490.0000,983915.0000,995978.0000,588350.0000,4752.0000,1621.0000,5277.0000,739.0000
Colorado Garfi,Colorado,Garfield County,28280.0000,2249517.0000,2284214.0000,1281980.0000,31597.0000,9920.0000,23010.0000,505.0000
Colorado Gilpi,Colorado,Gilpin County,2950.0000,204040.0000,207011.0000,142992.0000,1854.0000,654.0000,2232.0000,0.0000
Colorado Grand,Colorado,Grand County,7900.0000,581079.0000,593857.0000,345317.0000,6300.0000,2795.0000,6278.0000,135.0000
Colorado Gunni,Colorado,Gunnison County,8420.0000,576389.0000,592443.0000,318836.0000,6790.0000,3245.0000,6518.0000,0.0000
Colorado Hinsd,Colorado,Hinsdale County,380.0000,24728.0000,25231.0000,10367.0000,154.0000,86.0000,233.0000,0.0000
Colorado Huerf,Colorado,Huerfano County,2720.0000,119470.0000,121592.0000,67816.0000,516.0000,222.0000,746.0000,0.0000
Colorado Jacks,Colorado,Jackson County,660.0000,31409.0000,32188.0000,20355.0000,77.0000,24.0000,118.0000,0.0000
Colorado Jeffe,Colorado,Jefferson County,301970.0000,26585063.000,26962308.000,17867104.000,373528.0000,164761.0000,365857.0000,6875.0000
Colorado Kiowa,Colorado,Kiowa County,600.0000,28264.0000,29132.0000,18202.0000,0.0000,0.0000,0.0000,0.0000
Colorado Kit C,Colorado,Kit Carson County,3230.0000,140805.0000,145091.0000,102446.0000,458.0000,118.0000,525.0000,0.0000
Colorado La Pl,Colorado,La Plata County,27060.0000,2130879.0000,2171839.0000,1191084.0000,27793.0000,7876.0000,22269.0000,761.0000
Colorado Larim,Colorado,Larimer County,173750.0000,13945395.000,14151115.000,9000027.0000,177539.0000,72371.0000,164136.0000,3845.0000
Colorado Las A,Colorado,Las Animas County,6030.0000,289540.0000,292549.0000,185567.0000,1286.0000,311.0000,1246.0000,70.0000
Colorado Linco,Colorado,Lincoln County,2050.0000,95115.0000,96945.0000,66999.0000,206.0000,58.0000,301.0000,0.0000
Colorado Logan,Colorado,Logan County,8610.0000,483034.0000,493175.0000,321000.0000,2099.0000,509.0000,2009.0000,0.0000
Colorado Miner,Colorado,Mineral County,430.0000,24633.0000,25348.0000,10773.0000,98.0000,90.0000,173.0000,0.0000
Colorado Moffa,Colorado,Moffat County,5890.0000,336527.0000,339438.0000,259645.0000,1214.0000,375.0000,1646.0000,0.0000
Colorado Monte,Colorado,Montezuma County,11800.0000,646034.0000,655257.0000,384660.0000,4438.0000,1094.0000,3683.0000,176.0000
Colorado Montr,Colorado,Montrose County,19580.0000,1063627.0000,1082093.0000,654000.0000,7149.0000,2867.0000,7690.0000,383.0000
Colorado Morga,Colorado,Morgan County,13550.0000,719030.0000,729358.0000,551848.0000,2974.0000,923.0000,3319.0000,0.0000
Colorado Otero,Colorado,Otero County,7500.0000,290628.0000,295010.0000,236864.0000,681.0000,225.0000,927.0000,0.0000
Colorado Ouray,Colorado,Ouray County,2650.0000,234655.0000,240617.0000,93061.0000,2912.0000,1254.0000,2745.0000,96.0000
Colorado Phill,Colorado,Phillips County,2020.0000,112033.0000,115860.0000,71336.0000,394.0000,154.0000,503.0000,0.0000
Colorado Pitki,Colorado,Pitkin County,10330.0000,1702585.0000,1733602.0000,573675.0000,62116.0000,16309.0000,22354.0000,149.0000
Colorado Prowe,Colorado,Prowers County,4880.0000,218059.0000,222324.0000,151850.0000,635.0000,81.0000,595.0000,0.0000
Colorado Puebl,Colorado,Pueblo County,72210.0000,3794804.0000,3834905.0000,2591636.0000,19511.0000,7339.0000,21287.0000,3036.0000
Colorado Rio B,Colorado,Rio Blanco County,2710.0000,163417.0000,165621.0000,124843.0000,850.0000,191.0000,879.0000,0.0000
Colorado Rio G,Colorado,Rio Grande County,5840.0000,290659.0000,296626.0000,184586.0000,1107.0000,395.0000,1281.0000,0.0000
Colorado Routt,Colorado,Routt County,13510.0000,1410431.0000,1443311.0000,685118.0000,25560.0000,8692.0000,16887.0000,82.0000
Colorado Sagua,Colorado,Saguache County,2140.0000,81287.0000,83190.0000,46807.0000,371.0000,210.0000,562.0000,0.0000
Colorado San J,Colorado,San Juan County,360.0000,17283.0000,17687.0000,10486.0000,86.0000,0.0000,134.0000,0.0000
Colorado San M,Colorado,San Miguel County,4560.0000,466346.0000,480298.0000,212485.0000,14425.0000,3663.0000,5574.0000,0.0000
Colorado Sedgw,Colorado,Sedgwick County,1070.0000,42086.0000,42977.0000,31452.0000,0.0000,0.0000,126.0000,0.0000
Colorado Summi,Colorado,Summit County,17240.0000,1627693.0000,1659892.0000,931271.0000,28778.0000,9897.0000,20912.0000,156.0000
Colorado Telle,Colorado,Teller County,12410.0000,829088.0000,840696.0000,513865.0000,7297.0000,2962.0000,8560.0000,154.0000
Colorado Washi,Colorado,Washington County,1980.0000,98862.0000,102211.0000,63962.0000,197.0000,51.0000,275.0000,0.0000
Connecticut Fairf,Connecticut,Fairfield County,462580.0000,76438722.000,77648290.000,45111341.000,3323765.0000,1189274.0000,1113254.0000,5149.0000
Connecticut Hartf,Connecticut,Hartford County,449820.0000,36634582.000,37148985.000,26319126.000,587310.0000,412435.0000,517984.0000,3877.0000
Connecticut Litch,Connecticut,Litchfield County,94490.0000,7576398.0000,7715286.0000,4904317.0000,139434.0000,85021.0000,112037.0000,1056.0000
Connecticut Middl,Connecticut,Middlesex County,84920.0000,7543199.0000,7663136.0000,5163860.0000,124320.0000,90324.0000,119764.0000,916.0000
Connecticut New H,Connecticut,New Haven County,416540.0000,30979676.000,31443324.000,21823971.000,520089.0000,374320.0000,486375.0000,5379.0000
Connecticut New L,Connecticut,New London County,135780.0000,9913938.0000,10048863.000,6875171.0000,130976.0000,93440.0000,132974.0000,1435.0000
Connecticut Tolla,Connecticut,Tolland County,68970.0000,5816432.0000,5896120.0000,4192515.0000,72335.0000,57855.0000,79448.0000,747.0000
Connecticut Windh,Connecticut,Windham County,55500.0000,3331301.0000,3371258.0000,2498207.0000,27672.0000,22249.0000,36702.0000,665.0000
Delaware New C,Delaware,New Castle County,271300.0000,20767674.000,20982347.000,14683432.000,375284.0000,138605.0000,287114.0000,3195.0000
Delaware Susse,Delaware,Sussex County,115210.0000,7778545.0000,7877725.0000,4180714.0000,109036.0000,33441.0000,81023.0000,2592.0000
Florida Alach,Florida,Alachua County,115560.0000,7698505.0000,7786815.0000,5257997.0000,5978.0000,41089.0000,48256.0000,1352.0000
Florida Baker,Florida,Baker County,11110.0000,587141.0000,592657.0000,445648.0000,78.0000,1190.0000,2154.0000,56.0000
Florida Bradf,Florida,Bradford County,10310.0000,488415.0000,492189.0000,340280.0000,86.0000,1076.0000,1610.0000,28.0000
Florida Breva,Florida,Brevard County,292710.0000,19055399.000,19271167.000,12229326.000,30401.0000,96777.0000,123458.0000,4185.0000
Florida Browa,Florida,Broward County,970530.0000,70278912.000,71106120.000,45982005.000,202864.0000,688603.0000,743488.0000,25166.0000
Florida Calho,Florida,Calhoun County,4880.0000,221707.0000,223495.0000,159924.0000,0.0000,491.0000,891.0000,0.0000
Florida Charl,Florida,Charlotte County,88530.0000,5508130.0000,5574832.0000,2595456.0000,12874.0000,37979.0000,43814.0000,1114.0000
Florida Citru,Florida,Citrus County,68660.0000,3678801.0000,3719955.0000,1833317.0000,3371.0000,11797.0000,16687.0000,1332.0000
Florida Colli,Florida,Collier County,190930.0000,30266846.000,30608945.000,10391607.000,309277.0000,336847.0000,252964.0000,1865.0000
Florida Colum,Florida,Columbia County,28620.0000,1345378.0000,1358826.0000,940262.0000,347.0000,3590.0000,5822.0000,194.0000
Florida DeSot,Florida,DeSoto County,12660.0000,558212.0000,563895.0000,366494.0000,242.0000,2025.0000,2542.0000,43.0000
