Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Tennessee Ander,Tennessee,Anderson County,174,75545,0.965517241,0.034482759,0,78.8,0,0.945988112
Tennessee Bedfo,Tennessee,Bedford County,290,46330,0.965517241,0.034482759,0,26,0,0.945988112
Tennessee Bento,Tennessee,Benton County,150,16175,0.96,0.04,0,12.7,0,0.945988112
Tennessee Bleds,Tennessee,Bledsoe County,84,14075,0.964285714,0.035714286,0,,,0.945988112
Tennessee Bloun,Tennessee,Blount County,196,126190,0.959183673,0.040816327,1,30.6,0,0.945988112
Tennessee Bradl,Tennessee,Bradley County,199,102860,0.969849246,0.030150754,0,34.4,0,0.945988112
Tennessee Campb,Tennessee,Campbell County,132,40010,0.893939394,0.106060606,0,78.3,0,0.945988112
Tennessee Canno,Tennessee,Cannon County,158,13855,0.905063291,0.094936709,0,,,0.945988112
Tennessee Carro,Tennessee,Carroll County,244,28415,0.967213115,0.032786885,0,49.2,0,0.945988112
Tennessee Carte,Tennessee,Carter County,195,56705,0.825641026,0.174358974,0,4.9,0,0.945988112
Tennessee Cheat,Tennessee,Cheatham County,127,39575,0.94488189,0.05511811,0,10.6,0,0.945988112
Tennessee Chest,Tennessee,Chester County,127,17355,0.968503937,0.031496063,,9.5,0,0.945988112
Tennessee Claib,Tennessee,Claiborne County,95,31700,0.936842105,0.063157895,0,31.9,0,0.945988112
Tennessee Cocke,Tennessee,Cocke County,187,35255,0.893048128,0.106951872,0,31.2,0,0.945988112
Tennessee Coffe,Tennessee,Coffee County,215,53810,0.962790698,0.037209302,0,36.2,0,0.945988112
Tennessee Crock,Tennessee,Crockett County,163,14560,0.981595092,0.018404908,,11.9,0,0.945988112
Tennessee Cumbe,Tennessee,Cumberland County,136,57895,0.948529412,0.051470588,0,10.5,0,0.945988112
Tennessee David,Tennessee,Davidson County,801,667885,0.962546816,0.037453184,1,128,13.4,0.945988112
Tennessee Decat,Tennessee,Decatur County,105,11705,0.971428571,0.028571429,,,,0.945988112
Tennessee DeKal,Tennessee,DeKalb County,100,19160,0.98,0.02,0,,,0.945988112
Tennessee Dicks,Tennessee,Dickson County,240,50925,0.945833333,0.054166667,0,32.2,0,0.945988112
Tennessee Fayet,Tennessee,Fayette County,335,39070,0.913432836,0.086567164,0,38.6,0,0.945988112
Tennessee Fentr,Tennessee,Fentress County,56,17935,0.857142857,0.142857143,0,,,0.945988112
Tennessee Frank,Tennessee,Franklin County,154,41350,0.987012987,0.012987013,0,32.5,0,0.945988112
Tennessee Gibso,Tennessee,Gibson County,396,49510,0.906565657,0.093434343,0,74.3,0,0.945988112
Tennessee Giles,Tennessee,Giles County,321,29035,0.975077882,0.024922118,0,37.9,0,0.945988112
Tennessee Grain,Tennessee,Grainger County,87,22815,0.908045977,0.091954023,0,15.5,0,0.945988112
Tennessee Green,Tennessee,Greene County,308,68500,0.970779221,0.029220779,0,30.8,0,0.945988112
Tennessee Grund,Tennessee,Grundy County,85,13495,0.988235294,0.011764706,0,,,0.945988112
Tennessee Hambl,Tennessee,Hamblen County,119,63205,0.983193277,0.016806723,0,40.9,0,0.945988112
Tennessee Hamil,Tennessee,Hamilton County,457,351305,0.95404814,0.04595186,1,144.8,2.8,0.945988112
Tennessee Hanco,Tennessee,Hancock County,61,6610,0.967213115,0.032786885,0,,,0.945988112
Tennessee Harde,Tennessee,Hardeman County,224,25975,0.977678571,0.022321429,0,25,0,0.945988112
Tennessee Hardi,Tennessee,Hardin County,189,25840,0.931216931,0.068783069,0,5.2,0,0.945988112
Tennessee Hawki,Tennessee,Hawkins County,186,56565,0.924731183,0.075268817,0,54.6,0,0.945988112
Tennessee Haywo,Tennessee,Haywood County,240,18130,0.954166667,0.045833333,0,28.9,0,0.945988112
Tennessee Hende,Tennessee,Henderson County,204,27950,0.990196078,0.009803922,0,,,0.945988112
Tennessee Henry,Tennessee,Henry County,186,32290,0.946236559,0.053763441,0,38.4,0,0.945988112
Tennessee Hickm,Tennessee,Hickman County,330,24250,0.927272727,0.072727273,0,35.2,0,0.945988112
Tennessee Houst,Tennessee,Houston County,118,8235,0.949152542,0.050847458,0,,,0.945988112
Tennessee Humph,Tennessee,Humphreys County,248,18215,0.931451613,0.068548387,0,32.8,0,0.945988112
Tennessee Jacks,Tennessee,Jackson County,130,11525,0.992307692,0.007692308,0,,,0.945988112
Tennessee Jeffe,Tennessee,Jefferson County,122,52850,0.868852459,0.131147541,0,23.6,0,0.945988112
Tennessee Johns,Tennessee,Johnson County,111,17925,0.954954955,0.045045045,0,,,0.945988112
Tennessee Laude,Tennessee,Lauderdale County,266,27260,0.936090226,0.063909774,0,26,26,0.945988112
Tennessee Lawre,Tennessee,Lawrence County,211,42405,0.985781991,0.014218009,0,41.1,0,0.945988112
Tennessee Lewis,Tennessee,Lewis County,134,11905,0.970149254,0.029850746,0,11,0,0.945988112
Tennessee Linco,Tennessee,Lincoln County,301,33580,0.973421927,0.026578073,0,6.2,0,0.945988112
Tennessee Loudo,Tennessee,Loudon County,113,50635,0.96460177,0.03539823,0,26.4,0,0.945988112
Tennessee McMin,Tennessee,McMinn County,219,52605,0.99086758,0.00913242,0,57.1,0,0.945988112
Tennessee McNai,Tennessee,McNairy County,219,26055,0.98630137,0.01369863,0,42.2,0,0.945988112
Tennessee Macon,Tennessee,Macon County,168,22925,0.982142857,0.017857143,0,,,0.945988112
Tennessee Madis,Tennessee,Madison County,423,98130,0.95035461,0.04964539,1,64.9,0,0.945988112
Tennessee Mario,Tennessee,Marion County,173,28365,0.98265896,0.01734104,0,19.4,0,0.945988112
Tennessee Marsh,Tennessee,Marshall County,239,31335,0.9958159,0.0041841,0,28.9,0,0.945988112
Tennessee Maury,Tennessee,Maury County,421,85765,0.923990499,0.076009501,0,57.9,0,0.945988112
Tennessee Meigs,Tennessee,Meigs County,73,11805,0.917808219,0.082191781,0,,,0.945988112
Tennessee Monro,Tennessee,Monroe County,143,45480,0.923076923,0.076923077,0,27.1,0,0.945988112
Tennessee Montg,Tennessee,Montgomery County,187,189710,0.909090909,0.090909091,0,40.2,0,0.945988112
Tennessee Moore,Tennessee,Moore County,68,6315,0.970588235,0.029411765,,,,0.945988112
Tennessee Morga,Tennessee,Morgan County,115,21690,0.895652174,0.104347826,,30.1,0,0.945988112
Tennessee Obion,Tennessee,Obion County,366,30900,0.969945355,0.030054645,0,43.5,27.8,0.945988112
Tennessee Overt,Tennessee,Overton County,78,22090,0.961538462,0.038461538,0,,,0.945988112
Tennessee Perry,Tennessee,Perry County,153,7890,0.973856209,0.026143791,0,,,0.945988112
Tennessee Picke,Tennessee,Pickett County,27,5095,1,0,,,,0.945988112
Tennessee Putna,Tennessee,Putnam County,166,74650,1,0,0,39.3,0,0.945988112
Tennessee Roane,Tennessee,Roane County,158,52985,0.962025316,0.037974684,0,65.5,0,0.945988112
Tennessee Rober,Tennessee,Robertson County,204,67905,0.965686275,0.034313725,0,25.9,0,0.945988112
Tennessee Ruthe,Tennessee,Rutherford County,425,290290,0.952941176,0.047058824,0,35.8,0,0.945988112
Tennessee Scott,Tennessee,Scott County,111,22030,0.90990991,0.09009009,0,68.3,0,0.945988112
Tennessee Sequa,Tennessee,Sequatchie County,66,14710,1,0,0,,,0.945988112
Tennessee Sevie,Tennessee,Sevier County,271,94535,0.970479705,0.029520295,0,,,0.945988112
Tennessee Shelb,Tennessee,Shelby County,1076,936990,0.961895911,0.038104089,1,171.2,32.1,0.945988112
Tennessee Smith,Tennessee,Smith County,202,19175,0.95049505,0.04950495,,23,0,0.945988112
Tennessee Stewa,Tennessee,Stewart County,161,13255,0.98136646,0.01863354,0,2.2,0,0.945988112
Tennessee Sulli,Tennessee,Sullivan County,367,156645,0.970027248,0.029972752,1,40.2,0,0.945988112
Tennessee Sumne,Tennessee,Sumner County,388,172785,0.994845361,0.005154639,0,44.3,0,0.945988112
Tennessee Tipto,Tennessee,Tipton County,202,61560,0.975247525,0.024752475,0,26.4,22,0.945988112
Tennessee Trous,Tennessee,Trousdale County,87,7970,0.977011494,0.022988506,,,,0.945988112
Tennessee Unico,Tennessee,Unicoi County,161,17945,0.962732919,0.037267081,,16.3,0,0.945988112
Tennessee Union,Tennessee,Union County,59,19080,0.915254237,0.084745763,0,7.2,0,0.945988112
Tennessee Van B,Tennessee,Van Buren County,37,5640,1,0,0,,,0.945988112
Tennessee Warre,Tennessee,Warren County,160,40100,0.975,0.025,0,25.1,0,0.945988112
Tennessee Washi,Tennessee,Washington County,282,126045,0.946808511,0.053191489,0,47.3,0,0.945988112
Tennessee Wayne,Tennessee,Wayne County,270,16840,0.962962963,0.037037037,0,0.1,0,0.945988112
Tennessee Weakl,Tennessee,Weakley County,351,34025,0.971509972,0.028490028,0,33,0,0.945988112
Tennessee White,Tennessee,White County,70,26375,0.957142857,0.042857143,0,12.9,0,0.945988112
Tennessee Willi,Tennessee,Williamson County,501,205645,0.974051896,0.025948104,,45.4,0,0.945988112
Tennessee Wilso,Tennessee,Wilson County,383,125615,0.976501305,0.023498695,0,36.5,17.9,0.945988112
Texas Ander,Texas,Anderson County,168,57770,0.994047619,0.005952381,0,65.1,14.5,0.891372329
Texas Andre,Texas,Andrews County,1,17215,1,0,0,3.8,0,0.891372329
Texas Angel,Texas,Angelina County,175,87655,0.982857143,0.017142857,0,47.9,0,0.891372329
Texas Arans,Texas,Aransas County,20,24730,1,0,0,3,0,0.891372329
Texas Arche,Texas,Archer County,125,8750,0.976,0.024,0,,,0.891372329
Texas Armst,Texas,Armstrong County,12,1915,0.916666667,0.083333333,0,32,0,0.891372329
Texas Atasc,Texas,Atascosa County,176,47710,0.988636364,0.011363636,0,55.7,0,0.891372329
Texas Austi,Texas,Austin County,227,29105,0.969162996,0.030837004,0,71.7,0,0.891372329
Texas Baile,Texas,Bailey County,4,7130,1,0,0,22.1,0,0.891372329
Texas Bande,Texas,Bandera County,67,21015,1,0,0,,,0.891372329
Texas Bastr,Texas,Bastrop County,237,78285,0.991561181,0.008438819,0,95.4,0,0.891372329
Texas Baylo,Texas,Baylor County,61,3640,0.950819672,0.049180328,0,,,0.891372329
Texas Bexar,Texas,Bexar County,2240,1858700,0.999107143,0.000892857,1,166.6,81.3,0.891372329
Texas Blanc,Texas,Blanco County,62,10920,1,0,0,,,0.891372329
Texas Borde,Texas,Borden County,52,700,1,0,,,,0.891372329
Texas Bosqu,Texas,Bosque County,143,17955,0.993006993,0.006993007,0,39,39,0.891372329
Texas Bowie,Texas,Bowie County,333,93485,0.996996997,0.003003003,0,126.4,8.8,0.891372329
Texas Brews,Texas,Brewster County,113,9190,0.991150442,0.008849558,0,108.6,80.1,0.891372329
Texas Brisc,Texas,Briscoe County,18,1670,1,0,0,,,0.891372329
Texas Brook,Texas,Brooks County,52,7215,0.961538462,0.038461538,0,,,0.891372329
Texas Brown,Texas,Brown County,222,37935,0.981981982,0.018018018,0,50.1,0,0.891372329
Texas Burle,Texas,Burleson County,125,17415,0.952,0.048,0,70.7,0,0.891372329
Texas Burne,Texas,Burnet County,109,44585,1,0,0,44.2,0,0.891372329
Texas Caldw,Texas,Caldwell County,199,39850,0.994974874,0.005025126,0,35.4,10.3,0.891372329
Texas Calho,Texas,Calhoun County,101,21805,0.97029703,0.02970297,0,26,0,0.891372329
Texas Calla,Texas,Callahan County,157,13595,0.993630573,0.006369427,0,31.2,0,0.891372329
Texas Camer,Texas,Cameron County,348,418785,0.997126437,0.002873563,2,114.9,0,0.891372329
Texas Carso,Texas,Carson County,35,6025,1,0,0,81.8,0,0.891372329
Texas Castr,Texas,Castro County,10,7875,1,0,0,27.1,0,0.891372329
Texas Chamb,Texas,Chambers County,138,38070,0.992753623,0.007246377,0,14.9,0,0.891372329
Texas Chero,Texas,Cherokee County,192,51255,1,0,0,43,13.5,0.891372329
Texas Child,Texas,Childress County,91,7060,0.978021978,0.021978022,0,27.8,0,0.891372329
Texas Cochr,Texas,Cochran County,,2955,,,0,0.7,0,0.891372329
Texas Colem,Texas,Coleman County,148,8475,0.993243243,0.006756757,0,64.2,0,0.891372329
Texas Color,Texas,Colorado County,245,20790,0.987755102,0.012244898,0,63.6,37.6,0.891372329
Texas Comal,Texas,Comal County,212,124235,0.995283019,0.004716981,0,51.9,50.1,0.891372329
Texas Coman,Texas,Comanche County,217,13505,0.963133641,0.036866359,0,47.3,0,0.891372329
Texas Conch,Texas,Concho County,75,4140,0.986666667,0.013333333,0,,,0.891372329
Texas Cooke,Texas,Cooke County,279,38880,0.989247312,0.010752688,0,23.4,21.9,0.891372329
Texas Corye,Texas,Coryell County,197,75710,0.989847716,0.010152284,0,14.8,0,0.891372329
Texas Cottl,Texas,Cottle County,81,1560,0.987654321,0.012345679,0,,,0.891372329
Texas Crane,Texas,Crane County,18,4825,1,0,0,5.2,0,0.891372329
Texas Crock,Texas,Crockett County,159,3835,0.993710692,0.006289308,0,0.5,0,0.891372329
Texas Crosb,Texas,Crosby County,16,5985,0.9375,0.0625,0,,,0.891372329
Texas Culbe,Texas,Culberson County,135,2260,1,0,0,65.6,18.7,0.891372329
Texas Dawso,Texas,Dawson County,3,13315,1,0,0,,,0.891372329
Texas Deaf ,Texas,Deaf Smith County,27,19040,1,0,0,22.2,0,0.891372329
Texas Delta,Texas,Delta County,96,5225,0.96875,0.03125,0,0.6,0,0.891372329
Texas Dento,Texas,Denton County,746,754650,0.993297587,0.006702413,0,131.5,41.7,0.891372329
Texas DeWit,Texas,DeWitt County,264,20660,0.988636364,0.011363636,0,29.7,0,0.891372329
Texas Dicke,Texas,Dickens County,73,2235,0.95890411,0.04109589,0,,,0.891372329
Texas Dimmi,Texas,Dimmit County,74,10840,1,0,0,,,0.891372329
Texas Donle,Texas,Donley County,72,3505,0.958333333,0.041666667,0,37.9,0,0.891372329
Texas Duval,Texas,Duval County,17,11510,1,0,0,45.1,0,0.891372329
Texas Eastl,Texas,Eastland County,121,18250,1,0,0,32.2,0,0.891372329
Texas Ector,Texas,Ector County,232,153175,0.987068966,0.012931034,0,36.6,0,0.891372329
Texas Edwar,Texas,Edwards County,141,2030,0.992907801,0.007092199,0,,,0.891372329
Texas Ellis,Texas,Ellis County,26,160225,1,0,0,96.2,0,0.891372329
Texas El Pa,Texas,El Paso County,652,833590,0.995398773,0.004601227,1,105.6,51,0.891372329
Texas Erath,Texas,Erath County,686,40640,1,0,0,42.5,0,0.891372329
Texas Falls,Texas,Falls County,198,17265,0.98989899,0.01010101,0,36.2,0,0.891372329
Texas Fanni,Texas,Fannin County,308,33755,0.922077922,0.077922078,0,25.7,0,0.891372329
Texas Fayet,Texas,Fayette County,310,24910,0.95483871,0.04516129,0,91.2,22.8,0.891372329
Texas Fishe,Texas,Fisher County,370,3845,0.978378378,0.021621622,0,17.6,0,0.891372329
Texas Floyd,Texas,Floyd County,150,6090,0.946666667,0.053333333,0,,,0.891372329
Texas Foard,Texas,Foard County,11,1320,1,0,0,,,0.891372329
Texas Fort ,Texas,Fort Bend County,60,683755,0.9,0.1,0,109.7,33.8,0.891372329
Texas Frank,Texas,Franklin County,650,10570,0.978461538,0.021538462,0,10.8,0,0.891372329
Texas Frees,Texas,Freestone County,75,19585,0.986666667,0.013333333,0,63.4,0,0.891372329
Texas Gaine,Texas,Gaines County,146,19485,0.993150685,0.006849315,0,3.2,0,0.891372329
Texas Galve,Texas,Galveston County,,314485,,,0,75.9,0,0.891372329
Texas Garza,Texas,Garza County,318,6615,0.981132075,0.018867925,0,40.5,0,0.891372329
Texas Gille,Texas,Gillespie County,51,25730,1,0,0,,,0.891372329
Texas Glass,Texas,Glasscock County,128,1255,0.9921875,0.0078125,0,,,0.891372329
Texas Golia,Texas,Goliad County,28,7465,1,0,0,9,0,0.891372329
Texas Gonza,Texas,Gonzales County,125,20370,0.96,0.04,0,35,22.4,0.891372329
Texas Grays,Texas,Grayson County,81,124230,0.975308642,0.024691358,0,125.6,0,0.891372329
Texas Gregg,Texas,Gregg County,516,123285,0.986434109,0.013565891,1,37.8,15.8,0.891372329
Texas Grime,Texas,Grimes County,215,27140,0.995348837,0.004651163,0,96.5,0,0.891372329
Texas Guada,Texas,Guadalupe County,219,147315,0.97260274,0.02739726,0,38.7,36.6,0.891372329
Texas Hamil,Texas,Hamilton County,120,8230,0.975,0.025,0,,,0.891372329
Texas Hansf,Texas,Hansford County,119,5550,0.983193277,0.016806723,0,0.7,0,0.891372329
Texas Harde,Texas,Hardeman County,40,3950,0.975,0.025,0,45,0,0.891372329
Texas Hardi,Texas,Hardin County,77,55625,0.987012987,0.012987013,0,69.3,0,0.891372329
Texas Hartl,Texas,Hartley County,258,5965,0.992248062,0.007751938,0,72.3,0,0.891372329
Texas Haske,Texas,Haskell County,17,5810,0.941176471,0.058823529,0,,,0.891372329
Texas Hemph,Texas,Hemphill County,196,4150,0.994897959,0.005102041,0,31.7,0,0.891372329
Texas Hende,Texas,Henderson County,35,79215,1,0,0,59.8,0,0.891372329
Texas Hidal,Texas,Hidalgo County,196,828335,1,0,1,67.8,0,0.891372329
Texas Hockl,Texas,Hockley County,386,23375,0.966321244,0.033678756,0,45.9,0,0.891372329
Texas Hopki,Texas,Hopkins County,84,35845,0.988095238,0.011904762,0,75.7,0,0.891372329
Texas Houst,Texas,Houston County,260,22800,0.980769231,0.019230769,0,36.5,0,0.891372329
Texas Howar,Texas,Howard County,193,36425,0.932642487,0.067357513,0,35.1,0,0.891372329
Texas Hudsp,Texas,Hudspeth County,129,3480,0.992248062,0.007751938,0,106,77.8,0.891372329
Texas Hutch,Texas,Hutchinson County,452,21780,0.984513274,0.015486726,0,18.9,0,0.891372329
Texas Irion,Texas,Irion County,51,1630,0.980392157,0.019607843,0,43.3,0,0.891372329
Texas Jacks,Texas,Jackson County,135,14680,1,0,0,68.4,0,0.891372329
Texas Jaspe,Texas,Jasper County,169,35640,0.982248521,0.017751479,0,86.3,0,0.891372329
Texas Jeff ,Texas,Jeff Davis County,179,2220,0.983240223,0.016759777,0,30.5,26,0.891372329
Texas Jeffe,Texas,Jefferson County,136,252995,0.992647059,0.007352941,1,120.4,21.8,0.891372329
Texas Jim H,Texas,Jim Hogg County,444,5220,0.988738739,0.011261261,0,12.2,0,0.891372329
Texas Jim W,Texas,Jim Wells County,29,41485,1,0,0,20.3,0,0.891372329
Texas Johns,Texas,Johnson County,177,157545,0.97740113,0.02259887,0,92.6,25,0.891372329
Texas Jones,Texas,Jones County,373,19945,0.99463807,0.00536193,0,,,0.891372329
Texas Karne,Texas,Karnes County,169,14985,0.976331361,0.023668639,0,,,0.891372329
Texas Kaufm,Texas,Kaufman County,141,111830,0.978723404,0.021276596,0,26.4,26.4,0.891372329
Texas Kenda,Texas,Kendall County,435,39010,0.974712644,0.025287356,0,,,0.891372329
Texas Kened,Texas,Kenedy County,103,560,0.980582524,0.019417476,0,46.3,0,0.891372329
Texas Kimbl,Texas,Kimble County,149,4455,1,0,0,,,0.891372329
Texas Kinne,Texas,Kinney County,38,3580,1,0,0,50.9,44.9,0.891372329
Texas Klebe,Texas,Kleberg County,55,31875,1,0,0,21.2,0,0.891372329
Texas Lamar,Texas,Lamar County,306,49625,0.986928105,0.013071895,0,19.1,0,0.891372329
Texas Lampa,Texas,Lampasas County,91,20355,1,0,0,53.7,0,0.891372329
Texas La Sa,Texas,La Salle County,137,7320,1,0,0,43.8,0,0.891372329
Texas Lavac,Texas,Lavaca County,262,19655,0.984732824,0.015267176,0,24.9,0,0.891372329
Texas Liber,Texas,Liberty County,194,78600,0.979381443,0.020618557,0,112.8,35.2,0.891372329
Texas Limes,Texas,Limestone County,282,23470,0.936170213,0.063829787,0,35.1,0,0.891372329
Texas Lipsc,Texas,Lipscomb County,39,3505,0.974358974,0.025641026,0,11.1,0,0.891372329
Texas Live ,Texas,Live Oak County,219,11975,0.98173516,0.01826484,0,47.3,0,0.891372329
Texas Llano,Texas,Llano County,84,19625,1,0,0,20.1,0,0.891372329
Texas Lovin,Texas,Loving County,4,75,1,0,,,,0.891372329
Texas Lubbo,Texas,Lubbock County,235,294680,0.982978723,0.017021277,1,109.7,0,0.891372329
Texas McCul,Texas,McCulloch County,125,8240,0.984,0.016,0,16.8,0,0.891372329
Texas McLen,Texas,McLennan County,58,243395,0.982758621,0.017241379,1,92.1,28.4,0.891372329
Texas McMul,Texas,McMullen County,14,670,0.928571429,0.071428571,0,,,0.891372329
Texas Madis,Texas,Madison County,84,13845,0.988095238,0.011904762,0,13.8,0,0.891372329
Texas Mario,Texas,Marion County,191,10190,0.984293194,0.015706806,0,33.6,13.6,0.891372329
Texas Marti,Texas,Martin County,122,5450,1,0,0,13,0,0.891372329
Texas Mason,Texas,Mason County,118,4065,1,0,0,,,0.891372329
Texas Matag,Texas,Matagorda County,686,36720,0.986880466,0.013119534,0,70.2,0,0.891372329
Texas Maver,Texas,Maverick County,57,56830,1,0,0,29.5,0,0.891372329
Texas Medin,Texas,Medina County,208,47920,0.985576923,0.014423077,0,56.1,42.7,0.891372329
Texas Menar,Texas,Menard County,63,2165,1,0,0,,,0.891372329
Texas Midla,Texas,Midland County,118,155815,0.983050847,0.016949153,1,26.8,0,0.891372329
Texas Milam,Texas,Milam County,184,24370,0.972826087,0.027173913,0,78.1,0,0.891372329
Texas Mills,Texas,Mills County,68,4870,0.985294118,0.014705882,0,34.1,0,0.891372329
Texas Mitch,Texas,Mitchell County,142,8995,0.992957746,0.007042254,0,31.7,0,0.891372329
Texas Monta,Texas,Montague County,230,19385,0.982608696,0.017391304,0,51.8,0,0.891372329
Texas Montg,Texas,Montgomery County,585,518850,0.986324786,0.013675214,0,129.9,0,0.891372329
Texas Moore,Texas,Moore County,26,22185,1,0,0,66.3,0,0.891372329
Texas Morri,Texas,Morris County,70,12655,0.985714286,0.014285714,0,29.3,0,0.891372329
Texas Motle,Texas,Motley County,51,1020,1,0,0,,,0.891372329
Texas Nacog,Texas,Nacogdoches County,240,65555,0.995833333,0.004166667,0,37.6,0,0.891372329
Texas Navar,Texas,Navarro County,330,48175,0.984848485,0.015151515,0,85.7,0,0.891372329
Texas Newto,Texas,Newton County,157,14140,0.987261146,0.012738854,0,24.2,0,0.891372329
Texas Nolan,Texas,Nolan County,167,15015,0.976047904,0.023952096,0,71.2,0,0.891372329
Texas Nuece,Texas,Nueces County,489,355665,0.991820041,0.008179959,1,86.7,0,0.891372329
Texas Ochil,Texas,Ochiltree County,32,10575,1,0,0,,,0.891372329
Texas Oldha,Texas,Oldham County,51,2070,1,0,0,16.6,0,0.891372329
Texas Orang,Texas,Orange County,174,83750,0.965517241,0.034482759,0,85.4,32.6,0.891372329
Texas Palo ,Texas,Palo Pinto County,237,27920,0.991561181,0.008438819,0,36.5,0,0.891372329
Texas Panol,Texas,Panola County,141,23770,1,0,0,45.6,0,0.891372329
Texas Parke,Texas,Parker County,324,123600,0.990740741,0.009259259,0,35.2,0,0.891372329
Texas Parme,Texas,Parmer County,26,9920,1,0,0,49.2,0,0.891372329
Texas Pecos,Texas,Pecos County,469,15825,1,0,0,77.5,8.5,0.891372329
Texas Potte,Texas,Potter County,184,121885,0.934782609,0.065217391,1,109.8,0,0.891372329
Texas Presi,Texas,Presidio County,74,7145,1,0,0,116.4,44,0.891372329
Texas Rains,Texas,Rains County,52,11085,0.980769231,0.019230769,0,,,0.891372329
Texas Randa,Texas,Randall County,94,128605,1,0,0,47.1,0,0.891372329
Texas Reaga,Texas,Reagan County,28,3625,1,0,0,31.1,0,0.891372329
Texas Red R,Texas,Red River County,167,12455,0.97005988,0.02994012,0,,,0.891372329
Texas Reeve,Texas,Reeves County,213,14440,0.985915493,0.014084507,0,73.4,0,0.891372329
Texas Refug,Texas,Refugio County,136,7315,0.970588235,0.029411765,0,36.9,0,0.891372329
Texas Rockw,Texas,Rockwall County,70,88010,0.985714286,0.014285714,0,14.3,0,0.891372329
Texas Runne,Texas,Runnels County,159,10410,0.987421384,0.012578616,0,35.1,0,0.891372329
Texas Sabin,Texas,Sabine County,94,10365,0.989361702,0.010638298,0,19.5,0,0.891372329
Texas San A,Texas,San Augustine County,95,8555,0.978947368,0.021052632,0,17.8,0,0.891372329
Texas San J,Texas,San Jacinto County,77,27170,0.987012987,0.012987013,0,14.1,0,0.891372329
Texas San P,Texas,San Patricio County,237,66705,0.978902954,0.021097046,0,79.5,0,0.891372329
Texas San S,Texas,San Saba County,89,5880,0.988764045,0.011235955,0,34.9,0,0.891372329
Texas Schle,Texas,Schleicher County,33,3170,0.96969697,0.03030303,0,,,0.891372329
Texas Scurr,Texas,Scurry County,139,17315,0.985611511,0.014388489,0,38.3,0,0.891372329
Texas Shack,Texas,Shackelford County,79,3325,0.974683544,0.025316456,0,,,0.891372329
Texas Shelb,Texas,Shelby County,181,25705,0.961325967,0.038674033,0,59.5,0,0.891372329
Texas Sherm,Texas,Sherman County,30,3070,1,0,0,53.8,0,0.891372329
Texas Smith,Texas,Smith County,398,219745,0.984924623,0.015075377,1,72.3,1.6,0.891372329
Texas Somer,Texas,Somervell County,28,8675,1,0,0,2,0,0.891372329
Texas Starr,Texas,Starr County,63,63010,1,0,0,16.4,0,0.891372329
Texas Steph,Texas,Stephens County,116,9785,0.982758621,0.017241379,0,5.7,0,0.891372329
Texas Sterl,Texas,Sterling County,54,1235,1,0,0,,,0.891372329
Texas Stone,Texas,Stonewall County,50,1235,0.98,0.02,0,,,0.891372329
Texas Sutto,Texas,Sutton County,92,3935,1,0,0,,,0.891372329
Texas Swish,Texas,Swisher County,70,7640,0.942857143,0.057142857,0,33.1,0,0.891372329
Texas Tarra,Texas,Tarrant County,2360,1947530,0.993644068,0.006355932,1,257.3,75.3,0.891372329
Texas Taylo,Texas,Taylor County,415,135235,0.985542169,0.014457831,1,78.7,0,0.891372329
Texas Terre,Texas,Terrell County,53,780,1,0,0,59.5,59.5,0.891372329
Texas Terry,Texas,Terry County,5,12725,1,0,0,37.1,0,0.891372329
Texas Throc,Texas,Throckmorton County,53,1520,0.962264151,0.037735849,0,,,0.891372329
Texas Titus,Texas,Titus County,159,32590,0.993710692,0.006289308,0,45.6,0,0.891372329
Texas Tom G,Texas,Tom Green County,303,116265,1,0,1,35.7,0,0.891372329
Texas Travi,Texas,Travis County,1415,1148175,0.999293286,0.000706714,1,69.7,42.8,0.891372329
Texas Trini,Texas,Trinity County,81,14360,0.987654321,0.012345679,0,15.9,0,0.891372329
Texas Tyler,Texas,Tyler County,135,21370,0.97037037,0.02962963,0,,,0.891372329
Texas Upshu,Texas,Upshur County,139,40295,1,0,0,41.2,11.6,0.891372329
Texas Upton,Texas,Upton County,39,3475,1,0,0,33.8,0,0.891372329
Texas Uvald,Texas,Uvalde County,101,27055,1,0,0,54.3,45.1,0.891372329
Texas Val V,Texas,Val Verde County,111,48860,1,0,1,90.2,90.2,0.891372329
Texas Van Z,Texas,Van Zandt County,247,53070,0.971659919,0.028340081,0,28.1,28.1,0.891372329
Texas Victo,Texas,Victoria County,336,90990,0.979166667,0.020833333,0,103,0,0.891372329
Texas Walke,Texas,Walker County,148,69925,0.97972973,0.02027027,0,30.9,0,0.891372329
Texas Walle,Texas,Waller County,187,47050,0.989304813,0.010695187,0,33.3,0,0.891372329
Texas Washi,Texas,Washington County,227,34545,0.973568282,0.026431718,0,19.7,0,0.891372329
Texas Whart,Texas,Wharton County,357,41375,0.946778711,0.053221289,0,49.5,12.3,0.891372329
Texas Wheel,Texas,Wheeler County,104,5640,0.980769231,0.019230769,0,,,0.891372329
Texas Wichi,Texas,Wichita County,396,132150,0.997474747,0.002525253,0,56.3,0,0.891372329
Texas Wilba,Texas,Wilbarger County,153,13060,0.973856209,0.026143791,0,39.9,0,0.891372329
